x_pos, x_pwm, x_speed
171, 21.917059, 9803.922
172, 21.830881, 4878.049
173, 21.197266, 9803.922
173, 20.56365, 9803.922
174, 20.476034, 4901.961
175, 19.85778, 9708.738
175, 19.251589, 9708.738
176, 19.163713, 4878.049
177, 18.533278, 9708.738
177, 17.915024, 9708.738
178, 17.827148, 4878.049
179, 17.193533, 9803.922
179, 16.559917, 9803.922
180, 16.47374, 4878.049
181, 15.852487, 9803.922
181, 15.21887, 9803.922
182, 15.132964, 4901.961
183, 14.499348, 9803.922
183, 13.878095, 9803.922
184, 13.790218, 4878.049
184, 13.704041, 4878.049
185, 13.614698, 4901.961
186, 12.981082, 9803.922
186, 12.3474655, 9803.922
187, 12.259589, 4878.049
187, 12.175093, 4878.049
188, 12.087477, 4901.961
189, 11.45386, 9803.922
189, 10.832607, 9803.922
190, 10.744731, 4878.049
191, 10.1111145, 9803.922
191, 9.4650135, 9803.922
192, 9.378577, 4854.369
193, 8.744961, 9803.922
193, 8.111344, 9803.922
194, 8.023728, 4901.961
194, 7.937822, 4901.961
195, 7.8519154, 4901.961
196, 7.2182994, 9803.922
196, 6.572199, 9803.922
197, 6.486021, 4878.049
197, 6.4015245, 4878.049
198, 6.3153467, 4878.049
198, 6.229169, 4878.049
199, 6.142991, 4878.049
200, 5.509375, 9803.922
200, 4.888122, 9803.922
201, 4.8022156, 4901.961
201, 4.7145996, 4901.961
202, 4.628164, 4854.369
202, 4.543398, 4854.369
203, 4.455782, 4901.961
204, 3.822166, 9803.922
204, 3.200913, 9803.922
205, 3.113297, 4901.961
205, 3.025681, 4901.961
206, 2.938065, 4901.961
206, 2.8521585, 4901.961
207, 2.7659805, 4878.049
207, 2.6798024, 4878.049
208, 2.5933664, 4854.369
208, 2.5086007, 4854.369
209, 2.4224226, 4878.049
209, 2.3362446, 4878.049
210, 2.2500665, 4878.049
210, 2.1638885, 4878.049
211, 2.0791225, 4854.369
212, 1.9960107, 4854.369
212, 1.9081346, 4878.049
213, 1.2776985, 9708.738
213, 0.6594445, 9708.738
214, 0.5718285, 4901.961
214, 0.4842125, 4901.961
215, 0.3965965, 4901.961
215, 0.31069002, 4901.961
216, 0.22307402, 4901.961
216, 0.13545802, 4901.961
217, 0.04784202, 4901.961
217, 0, 4901.961
217, 0, 4901.961
218, 0, 3367.0034
218, 0, 3367.0034
219, 0, 5154.639
219, 0, 5154.639
220, 0, 5181.347
220, 0, 5181.347
221, 0, 5181.347
221, 0, 5181.347
221, 0, 5181.347
222, 0, 3436.426
222, 0, 3436.426
223, 0, 5181.347
223, 0, 5181.347
223, 0, 5181.347
224, 0, 3448.276
224, 0, 3448.276
225, 0, 5181.347
225, 0, 5181.347
226, 0, 5181.347
226, 0, 5181.347
226, 0, 5181.347
227, 0, 3448.276
227, 0, 3448.276
227, 0, 3448.276
228, 0, 3448.276
228, 0, 3448.276
229, 0, 5154.639
229, 0, 5154.639
229, 0, 5154.639
230, 0, 3448.276
230, 0, 3448.276
231, 0, 5181.347
231, 0, 5181.347
231, 0, 5181.347
232, 0, 3460.2078
232, 0, 3460.2078
232, 0, 3460.2078
233, 0, 3436.426
233, 0, 3436.426
